title,subtitle,date,summary,img,link
OMbra : the connected bra,"Sport, Health",19/09/2016,"
This intelligent undergarment tracks the activity of the carrier throughout the day.",http://www.objetconnecte.net/wp-content/uploads/2016/09/ombra-omsignal-890x395_c.jpg,http://www.objetconnecte.net/ombra-soutien-gorge-1909/
"
Graphene: a super-silk for connected clothes!",Innovation,13/10/2016,"
A stronger, flexible, lightweight and conductive textile. Future component of connected clothing.",http://www.objetconnecte.net/wp-content/uploads/2016/10/textile-890x395_c.jpg,http://www.objetconnecte.net/graphene-vetements-connectes/
Team Pro Shirt : the clever shirt,"Sport, Health",04/01/2017,Team Pro Shirt collect all the data necessary for the athletes.,http://www.objetconnecte.net/wp-content/uploads/2017/01/Polar-un-maillot-barde-de-capteurs-pour-les-sportifs-890x395_c.jpg,http://www.objetconnecte.net/polar-ces-2017-pro-team-shirt-0401/
Smart shoes come in: between comfort and health.,"Sport, Health, Gadjet",06/02/2017,"Faire ses lacets automatiquement, changer la température de ses chaussure ou mesurer son activité, tous ça est possible aavec cette nouvelle paire de chaussure connectée.",http://i-cms.journaldunet.com/image_cms/original/10455706.jpg,http://www.journaldunet.com/ebusiness/internet-mobile/1190971-chaussures-connectees-decollage/
"Wearable E Skin Shirts : 
let yourself be guided by this shirt and become even better.","Sport, Health",06/02/2017,,http://www.sportswearable.net/wp-content/uploads/2017/02/xenoma-e-skin-designboom-06.jpg,http://www.sportswearable.net/wearable-e-skin-shirts-launched-japanese-startup-xenoma/
Smart Sleeve – Cricket Wearable for Detecting Illegal Bowling Action,Sport,06/02/2017,No doubt with this sleeve : illegal bowling action could be detected through a smartphone application !,http://www.sportswearable.net/wp-content/uploads/2017/02/20696-cd8ac039cf103cbc5a1f01f2b6906c3d.jpg,http://www.sportswearable.net/smart-sleeve-cricket-wearable-detecting-illegal-bowling-action/
 From Automotive to Humans: MAT to focus on wearables health data,,21/10/2016,,http://www.sportswearable.net/wp-content/uploads/2016/10/mclaren-technologie.jpg,http://www.sportswearable.net/automotive-humans-mat-wearables-health/
